date,min,max,avg,location,temp,rainfall,humidity,rain_3day_sum,rain_flag,temp_lag,humidity_diff,trend_score_পেঁয়াজ,trend_score_onion,trend_score_পেঁয়াজ_lag1,trend_score_পেঁয়াজ_avg3,trend_score_পেঁয়াজ_spike,trend_score_onion_lag1,trend_score_onion_avg3,trend_score_onion_spike
2021-06-01,45.0,50.0,47.5,Dhaka,28.9,22.24,88.69,75.12,1,28.63,-0.8799999999999955,28.0,100.0,28.0,28.0,0,100.0,100.0,0
2021-06-05,50.0,60.0,55.0,Dhaka,29.17,23.56,89.63,96.11,1,28.9,0.9399999999999976,28.0,100.0,28.0,28.0,0,100.0,100.0,0
2021-06-06,48.0,55.0,51.5,Dhaka,29.31,42.06,89.25,87.86,1,29.17,-0.3799999999999954,16.0,90.0,28.0,24.0,0,100.0,96.66666666666667,0
2021-06-08,48.0,52.0,50.0,Dhaka,28.12,20.46,93.13,86.08000000000001,1,29.31,3.879999999999996,16.0,90.0,16.0,20.0,0,90.0,93.33333333333333,0
2021-06-09,48.0,52.0,50.0,Dhaka,28.04,19.07,88.46,81.59,1,28.12,-4.670000000000002,16.0,90.0,16.0,16.0,0,90.0,90.0,0
2021-06-12,45.0,55.0,50.0,Dhaka,27.92,14.93,92.0,54.46,1,28.04,3.5400000000000063,16.0,90.0,16.0,16.0,0,90.0,90.0,0
2021-06-13,45.0,50.0,47.5,Dhaka,28.9,4.55,86.81,38.55,0,27.92,-5.189999999999998,15.0,76.0,16.0,15.666666666666666,0,90.0,85.33333333333333,0
2021-06-14,45.0,50.0,47.5,Dhaka,29.1,8.44,87.91,27.92,1,28.9,1.0999999999999943,15.0,76.0,15.0,15.333333333333334,0,76.0,80.66666666666667,0
2021-06-15,45.0,50.0,47.5,Dhaka,28.55,18.65,90.01,31.64,1,29.1,2.1000000000000085,15.0,76.0,15.0,15.0,0,76.0,76.0,0
2021-06-16,45.0,50.0,47.5,Dhaka,28.12,6.88,89.44,33.97,1,28.55,-0.5700000000000074,15.0,76.0,15.0,15.0,0,76.0,76.0,0
2021-06-18,45.0,50.0,47.5,Dhaka,27.51,34.14,88.56,59.67,1,28.12,-0.8799999999999955,15.0,76.0,15.0,15.0,0,76.0,76.0,0
2021-06-19,45.0,55.0,50.0,Dhaka,27.35,36.04,88.57,77.06,1,27.51,0.0099999999999909,15.0,76.0,15.0,15.0,0,76.0,76.0,0
2021-06-20,48.0,50.0,49.0,Dhaka,27.16,17.92,90.51,88.10000000000001,1,27.35,1.940000000000012,12.0,78.0,15.0,14.0,0,76.0,76.66666666666667,0
2021-06-21,45.0,55.0,50.0,Dhaka,27.69,25.28,90.36,79.24000000000001,1,27.16,-0.1500000000000056,12.0,78.0,12.0,13.0,0,78.0,77.33333333333333,0
2021-06-22,45.0,50.0,47.5,Dhaka,27.77,4.26,87.79,47.46,0,27.69,-2.569999999999993,12.0,78.0,12.0,12.0,0,78.0,78.0,0
2021-06-23,45.0,50.0,47.5,Dhaka,28.09,4.87,86.91,34.410000000000004,0,27.77,-0.8800000000000097,12.0,78.0,12.0,12.0,0,78.0,78.0,0
2021-06-26,45.0,50.0,47.5,Dhaka,28.46,7.6,88.46,16.73,1,28.09,1.5499999999999972,12.0,78.0,12.0,12.0,0,78.0,78.0,0
