YEAR,MO,DY,T2M,PRECTOTCORR,RH2M
2021,5,17,32.14,3.55,69.09
2021,5,18,31.61,9.86,72.92
2021,5,19,30.65,5.42,77.74
2021,5,20,30.98,3.22,76.78
2021,5,21,30.94,1.53,73.61
2021,5,22,31.83,0.13,70.38
2021,5,23,32.17,0.09,67.25
2021,5,24,29.86,7.78,78.49
2021,5,25,29.57,29.78,78.15
2021,5,26,28.3,13.97,78.75
2021,5,27,29.48,3.6,78.09
2021,5,28,30.65,3.69,77.39
2021,5,29,30.64,1.9,75.96
2021,5,30,30.65,2.57,75.89
2021,5,31,28.63,50.31,89.57
2021,6,1,28.9,22.24,88.69
2021,6,2,28.37,17.63,89.1
2021,6,3,29.46,5.57,85.41
2021,6,4,29.51,3.26,85.33
2021,6,5,29.17,23.56,89.63
2021,6,6,29.31,42.06,89.25
2021,6,7,29.01,31.33,89.4
2021,6,8,28.12,20.46,93.13
2021,6,9,28.04,19.07,88.46
2021,6,10,28.12,7.65,85.19
2021,6,11,27.28,18.09,93.09
2021,6,12,27.92,14.93,92.0
2021,6,13,28.9,4.55,86.81
2021,6,14,29.1,8.44,87.91
2021,6,15,28.55,18.65,90.01
2021,6,16,28.12,6.88,89.44
2021,6,17,27.39,16.59,88.01
2021,6,18,27.51,34.14,88.56
2021,6,19,27.35,36.04,88.57
2021,6,20,27.16,17.92,90.51
2021,6,21,27.69,25.28,90.36
2021,6,22,27.77,4.26,87.79
2021,6,23,28.09,4.87,86.91
2021,6,24,28.48,3.99,87.97
2021,6,25,28.18,3.98,87.31
2021,6,26,28.46,7.6,88.46
2021,6,27,28.72,2.5,88.01
2021,6,28,28.45,5.93,89.39
2021,6,29,28.53,12.99,90.8
2021,6,30,28.98,41.95,90.15
2021,7,1,28.4,51.59,91.78
2021,7,2,27.69,34.2,90.15
2021,7,3,28.33,22.22,91.07
2021,7,4,29.01,19.28,86.02
2021,7,5,28.96,3.48,89.75
2021,7,6,29.05,22.23,89.48
2021,7,7,28.72,16.87,91.67
2021,7,8,28.61,11.93,89.93
2021,7,9,28.68,1.33,87.31
2021,7,10,28.7,3.0,87.12
2021,7,11,29.05,11.03,86.92
2021,7,12,29.0,5.16,83.78
2021,7,13,28.12,5.76,90.2
2021,7,14,28.51,3.3,87.06
2021,7,15,28.96,1.67,84.85
2021,7,16,28.44,11.33,85.57
